cik,ticker,accession,form,filing_date,period_of_report,doc_type,exhibit_label,document,doc_url
0000773840,HON,0000773840-25-000025,8-K,2025-04-08,2025-04-07,exhibit,EX-99.1,exhibit991annemaddenofferl.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000025/exhibit991annemaddenofferl.htm
0000773840,HON,0000773840-25-000019,8-K,2025-04-01,2025-04-01,primary,,hon-20250401.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000019/hon-20250401.htm
0000773840,HON,0000773840-25-000019,8-K,2025-04-01,2025-04-01,exhibit,EX-99.1,exhibit991-pressrelease412.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000019/exhibit991-pressrelease412.htm
0000773840,HON,0001193125-25-055636,8-K,2025-03-17,2025-03-17,primary,,d915924d8k.htm,https://www.sec.gov/Archives/edgar/data/773840/000119312525055636/d915924d8k.htm
0000773840,HON,0000773840-25-000014,8-K,2025-02-18,2025-02-14,primary,,hon-20250214.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000014/hon-20250214.htm
0000773840,HON,0000773840-25-000005,8-K,2025-02-06,2025-02-06,primary,,hon-20250206.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000005/hon-20250206.htm
0000773840,HON,0000773840-25-000005,8-K,2025-02-06,2025-02-06,exhibit,EX-99.1,exhibit991-q42024earningsr.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000005/exhibit991-q42024earningsr.htm
0000773840,HON,0000773840-25-000005,8-K,2025-02-06,2025-02-06,exhibit,EX-99.2,exhibit992-winter.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000005/exhibit992-winter.htm
0000773840,HON,0000773840-24-000102,8-K,2024-12-02,2024-12-02,primary,,hon-20241202.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000102/hon-20241202.htm
0000773840,HON,0000773840-24-000102,8-K,2024-12-02,2024-12-02,exhibit,EX-99,exhibit99-renaissance.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000102/exhibit99-renaissance.htm
0000773840,HON,0000773840-24-000097,8-K,2024-10-24,2024-10-24,primary,,hon-20241024.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000097/hon-20241024.htm
0000773840,HON,0000773840-24-000097,8-K,2024-10-24,2024-10-24,exhibit,EX-99,exhibit99-q32024earningsre.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000097/exhibit99-q32024earningsre.htm
0000773840,HON,0000773840-24-000099,10-Q,2024-10-24,2024-09-30,primary,,hon-20240930.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000099/hon-20240930.htm
0000773840,HON,0000773840-24-000091,8-K,2024-10-08,2024-10-08,primary,,hon-20241008.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000091/hon-20241008.htm
0000773840,HON,0000773840-24-000091,8-K,2024-10-08,2024-10-08,exhibit,EX-99.1,exhibit991-oct8pressrelease.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000091/exhibit991-oct8pressrelease.htm
0000773840,HON,0000773840-24-000086,8-K,2024-09-05,2024-09-05,primary,,hon-20240905.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000086/hon-20240905.htm
0000773840,HON,0001193125-24-199003,8-K,2024-08-12,2024-08-12,primary,,d743374d8k.htm,https://www.sec.gov/Archives/edgar/data/773840/000119312524199003/d743374d8k.htm
0000773840,HON,0001193125-24-191800,8-K,2024-08-02,2024-08-01,primary,,d878618d8k.htm,https://www.sec.gov/Archives/edgar/data/773840/000119312524191800/d878618d8k.htm
0000773840,HON,0000773840-24-000081,8-K,2024-07-25,2024-07-25,primary,,hon-20240725.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000081/hon-20240725.htm
0000773840,HON,0000773840-24-000081,8-K,2024-07-25,2024-07-25,exhibit,EX-99,exhibit99-q22024earningsre.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000081/exhibit99-q22024earningsre.htm
0000773840,HON,0000773840-24-000082,10-Q,2024-07-25,2024-06-30,primary,,hon-20240630.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000082/hon-20240630.htm
0000773840,HON,0000773840-24-000075,8-K,2024-07-10,2024-07-10,primary,,hon-20240710.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000075/hon-20240710.htm
0000773840,HON,0000773840-24-000075,8-K,2024-07-10,2024-07-10,exhibit,EX-99,exhibit99-segmentprofitand.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384024000075/exhibit99-segmentprofitand.htm
